"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="156327079085401506","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="156134886758771112","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157651631407252276","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易关闭","CLC1180101250025"
="156241203163393306","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157583086351119664","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157563988961360299","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157452857530731170","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157428862798287069","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157474164794778792","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="155692064956168111","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="155669852686705702","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="155616605439942415","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易关闭","CLC1180101250025"
="142472260433130443","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157372247914933397","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157365217875875491","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157366785059753096","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157414188704735695","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157333803400680899","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157393692152251369","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="155537533692715506","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="155535741379749623","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157348304251158682","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157262291355702882","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="155854383894687623","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157209567801101897","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易关闭","CLC1180101250025"
="155393837484463416","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157149897935151466","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
