商户订单号,发生时间,收入金额（+元）,支出金额（-元）,帐务类型,备注
180403-268161406720872,2018/4/9 9:05,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180406-436504849922504,2018/4/9 9:05,0,-5,优惠券结算,退款补用户优惠券
180406-436504849922504,2018/4/9 9:05,5,0,优惠券结算,交易成功优惠券支付金额结算
180403-454214270723841,2018/4/9 9:05,0,-3,优惠券结算,退款补用户优惠券
180403-454214270723841,2018/4/9 9:05,3,0,优惠券结算,交易成功优惠券支付金额结算
180403-240408046083554,2018/4/8 22:50,1.09,0,优惠券结算,交易成功优惠券支付金额结算
180404-314074616320344,2018/4/8 21:50,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180404-422508389122030,2018/4/8 21:44,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-312642178560668,2018/4/8 21:34,0.71,0,优惠券结算,交易成功优惠券支付金额结算
180405-522946864643834,2018/4/8 21:28,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180403-301929669760280,2018/4/8 21:19,3,0,优惠券结算,交易成功优惠券支付金额结算
180329-412517364482276,2018/4/8 21:09,3,0,优惠券结算,交易成功优惠券支付金额结算
180405-360837250561073,2018/4/8 20:52,3,0,优惠券结算,交易成功优惠券支付金额结算
180404-503206752000236,2018/4/8 20:51,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-503709872640344,2018/4/8 19:14,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-225616514563221,2018/4/8 18:04,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-388485333123721,2018/4/8 18:00,3,0,优惠券结算,交易成功优惠券支付金额结算
180405-506825020163920,2018/4/8 16:07,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-215693381123478,2018/4/8 16:05,3,0,优惠券结算,交易成功优惠券支付金额结算
180405-215693381123478,2018/4/8 16:05,0,-3,优惠券结算,退款补用户优惠券
180407-248279227522134,2018/4/8 15:57,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-506281526402625,2018/4/8 15:48,0,-0.69,优惠券结算,退款扣除优惠券支付金额
180404-506281526402625,2018/4/8 15:48,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180405-380089009921207,2018/4/8 15:32,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180405-429000625921669,2018/4/8 14:24,0,-0.71,优惠券结算,退款扣除优惠券支付金额
180405-429000625921669,2018/4/8 14:24,0.71,0,优惠券结算,交易成功优惠券支付金额结算
180406-258886755841431,2018/4/8 13:13,0.66,0,优惠券结算,交易成功优惠券支付金额结算
180404-229440049281860,2018/4/8 11:09,0,-0.75,优惠券结算,退款扣除优惠券支付金额
180404-229440049281860,2018/4/8 11:09,0.75,0,优惠券结算,交易成功优惠券支付金额结算
180404-492615795852178,2018/4/8 11:08,0,-0.76,优惠券结算,退款扣除优惠券支付金额
180404-492615795852178,2018/4/8 11:08,0.76,0,优惠券结算,交易成功优惠券支付金额结算
180402-386102014721150,2018/4/8 10:53,0.7,0,优惠券结算,交易成功优惠券支付金额结算
180407-268848817282642,2018/4/8 9:56,0,-0.79,优惠券结算,退款扣除优惠券支付金额
180407-268848817282642,2018/4/8 9:56,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180405-399582549762331,2018/4/8 9:26,0,-0.71,优惠券结算,退款扣除优惠券支付金额
180405-399582549762331,2018/4/8 9:26,0.71,0,优惠券结算,交易成功优惠券支付金额结算
180405-314490294401031,2018/4/8 9:11,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-309225746560430,2018/4/8 8:53,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180405-309225746560430,2018/4/8 8:53,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180401-404410970880396,2018/4/8 6:30,0.73,0,优惠券结算,交易成功优惠券支付金额结算
180405-289160240642355,2018/4/8 0:21,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-261514606722688,2018/4/7 22:27,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-247177491202857,2018/4/7 21:52,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-530926144001842,2018/4/7 21:06,0,-0.63,优惠券结算,退款扣除优惠券支付金额
