商户订单号,发生时间,收入金额（+元）,支出金额（-元）,帐务类型,备注
180502-249602100481954,2018/5/4 11:13,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-543315928961482,2018/5/4 11:09,0.76,0,优惠券结算,交易成功优惠券支付金额结算
180501-372859504640019,2018/5/4 11:02,0.8,0,优惠券结算,交易成功优惠券支付金额结算
180430-159855678720519,2018/5/4 10:47,10,0,优惠券结算,交易成功优惠券支付金额结算
180501-523915837443087,2018/5/4 10:36,1.39,0,优惠券结算,交易成功优惠券支付金额结算
180501-399445808000387,2018/5/4 9:48,5,0,优惠券结算,交易成功优惠券支付金额结算
180406-258776343680042,2018/5/4 9:26,0,-5,优惠券结算,退款补用户优惠券
180406-258776343680042,2018/5/4 9:26,5,0,优惠券结算,交易成功优惠券支付金额结算
180422-408844643203626,2018/5/4 9:14,3,0,优惠券结算,交易成功优惠券支付金额结算
180428-458429687043221,2018/5/4 8:50,5,0,优惠券结算,交易成功优惠券支付金额结算
180503-465075257601924,2018/5/4 8:32,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180503-465075257601924,2018/5/4 8:32,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180428-481024364801500,2018/5/4 8:27,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180429-539926973440556,2018/5/4 8:01,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-468086947842958,2018/5/4 6:34,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180429-520263317761987,2018/5/4 0:49,0.75,0,优惠券结算,交易成功优惠券支付金额结算
180501-236721189123193,2018/5/3 22:26,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-391245151361509,2018/5/3 21:51,3,0,优惠券结算,交易成功优惠券支付金额结算
180429-487969573764065,2018/5/3 21:25,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-451723583364072,2018/5/3 21:18,3,0,优惠券结算,交易成功优惠券支付金额结算
180429-543667662723479,2018/5/3 20:55,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180429-518114411523831,2018/5/3 20:35,3,0,优惠券结算,交易成功优惠券支付金额结算
180430-380277099523812,2018/5/3 20:19,1.46,0,优惠券结算,交易成功优惠券支付金额结算
180501-240358507520493,2018/5/3 19:35,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-418679420802970,2018/5/3 18:40,3,0,优惠券结算,交易成功优惠券支付金额结算
180429-507165948160335,2018/5/3 18:13,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-237640659841783,2018/5/3 18:08,5,0,优惠券结算,交易成功优惠券支付金额结算
180428-537677159681958,2018/5/3 18:03,3,0,优惠券结算,交易成功优惠券支付金额结算
180427-522848727040976,2018/5/3 17:57,5,0,优惠券结算,交易成功优惠券支付金额结算
180428-468560148483785,2018/5/3 16:40,3,0,优惠券结算,交易成功优惠券支付金额结算
180427-495684517120052,2018/5/3 16:18,5,0,优惠券结算,交易成功优惠券支付金额结算
180430-473018712960351,2018/5/3 16:11,5,0,优惠券结算,交易成功优惠券支付金额结算
180430-309698749443571,2018/5/3 16:06,4,0,优惠券结算,交易成功优惠券支付金额结算
180430-501733602571807,2018/5/3 16:04,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-294045453443740,2018/5/3 15:37,3,0,优惠券结算,交易成功优惠券支付金额结算
180418-294742781441747,2018/5/3 15:22,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180430-401242236803191,2018/5/3 15:14,0.72,0,优惠券结算,交易成功优惠券支付金额结算
180430-484207267843904,2018/5/3 15:04,3,0,优惠券结算,交易成功优惠券支付金额结算
180430-524709188482646,2018/5/3 14:39,0.81,0,优惠券结算,交易成功优惠券支付金额结算
180430-481558780800191,2018/5/3 14:27,5,0,优惠券结算,交易成功优惠券支付金额结算
180408-421247132162909,2018/5/3 13:33,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180428-263809146883923,2018/5/3 13:20,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-486935009281027,2018/5/3 13:01,3,0,优惠券结算,交易成功优惠券支付金额结算
180428-533253828481924,2018/5/3 12:49,3,0,优惠券结算,交易成功优惠券支付金额结算
180429-470093190400378,2018/5/3 12:20,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180428-498913187844005,2018/5/3 12:12,3,0,优惠券结算,交易成功优惠券支付金额结算
180430-376208634880266,2018/5/3 11:49,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180429-240668207361073,2018/5/3 11:34,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180430-495532564480922,2018/5/3 11:26,3,0,优惠券结算,交易成功优惠券支付金额结算
180404-470284853760925,2018/5/3 11:16,3,0,优惠券结算,交易成功优惠券支付金额结算
180430-350804771843797,2018/5/3 11:12,3,0,优惠券结算,交易成功优惠券支付金额结算
180427-435640219521675,2018/5/3 10:22,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-365311559680146,2018/5/3 10:01,3,0,优惠券结算,交易成功优惠券支付金额结算
180501-343858965761457,2018/5/3 9:19,0,-4,优惠券结算,退款补用户优惠券
180501-343858965761457,2018/5/3 9:19,4,0,优惠券结算,交易成功优惠券支付金额结算
180427-320648792963069,2018/5/3 9:07,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180405-500276627202349,2018/5/3 8:58,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180403-485480082562824,2018/5/3 7:08,3,0,优惠券结算,交易成功优惠券支付金额结算
180427-492372958080654,2018/5/3 6:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-309473126401399,2018/5/3 5:30,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-292565715842053,2018/5/2 23:34,4,0,优惠券结算,交易成功优惠券支付金额结算
180422-520414141443823,2018/5/2 23:12,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180427-519639543041414,2018/5/2 22:11,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180502-340137136002795,2018/5/2 21:50,0,-10,优惠券结算,退款补用户优惠券
180502-340137136002795,2018/5/2 21:50,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-261846693120390,2018/5/2 21:42,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180428-379171902722365,2018/5/2 21:33,10,0,优惠券结算,交易成功优惠券支付金额结算
180429-373660509442963,2018/5/2 21:30,0.67,0,优惠券结算,交易成功优惠券支付金额结算
180423-319827463043114,2018/5/2 21:27,6.61,0,优惠券结算,交易成功优惠券支付金额结算
180430-257677685770390,2018/5/2 20:27,5,0,优惠券结算,交易成功优惠券支付金额结算
180427-413055052800896,2018/5/2 19:52,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-508298304653539,2018/5/2 19:47,0.73,0,优惠券结算,交易成功优惠券支付金额结算
180407-310232758402193,2018/5/2 19:46,3,0,优惠券结算,交易成功优惠券支付金额结算
180428-307700261760432,2018/5/2 19:31,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180429-532409575684092,2018/5/2 19:21,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180422-488725402883824,2018/5/2 18:28,11.16,0,优惠券结算,交易成功优惠券支付金额结算
180427-439374153603291,2018/5/2 18:26,3,0,优惠券结算,交易成功优惠券支付金额结算
180428-252768779522868,2018/5/2 18:24,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-153438680321679,2018/5/2 18:20,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-539609177600925,2018/5/2 17:42,1.03,0,优惠券结算,交易成功优惠券支付金额结算
180429-304716488963546,2018/5/2 16:34,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180427-348055415041374,2018/5/2 15:55,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-256100189442685,2018/5/2 15:23,5,0,优惠券结算,交易成功优惠券支付金额结算
180427-327036279681520,2018/5/2 15:19,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-508658512641789,2018/5/2 15:10,3,0,优惠券结算,交易成功优惠券支付金额结算
180416-364325166730669,2018/5/2 14:48,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180427-494999644162477,2018/5/2 14:39,5,0,优惠券结算,交易成功优惠券支付金额结算
180427-342906163202060,2018/5/2 14:20,3,0,优惠券结算,交易成功优惠券支付金额结算
180427-408834371842233,2018/5/2 14:12,5,0,优惠券结算,交易成功优惠券支付金额结算
180427-346613570560555,2018/5/2 14:01,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180403-485083139842928,2018/5/2 14:00,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-348837116162323,2018/5/2 13:46,5,0,优惠券结算,交易成功优惠券支付金额结算
180423-239428720643041,2018/5/2 13:46,0.73,0,优惠券结算,交易成功优惠券支付金额结算
180423-353143185282063,2018/5/2 13:44,10,0,优惠券结算,交易成功优惠券支付金额结算
180424-363264501761830,2018/5/2 13:37,10,0,优惠券结算,交易成功优惠券支付金额结算
180429-368879105282835,2018/5/2 12:25,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-251454178562312,2018/5/2 12:12,4,0,优惠券结算,交易成功优惠券支付金额结算
180428-430013246721654,2018/5/2 11:57,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180426-485980815360532,2018/5/2 11:08,10,0,优惠券结算,交易成功优惠券支付金额结算
180429-342916318082468,2018/5/2 10:46,3,0,优惠券结算,交易成功优惠券支付金额结算
180427-295507435521067,2018/5/2 10:38,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180427-387337294083824,2018/5/2 8:29,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180427-289549380481479,2018/5/2 8:03,3,0,优惠券结算,交易成功优惠券支付金额结算
180420-129811796480538,2018/5/2 6:52,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-299417063680896,2018/5/2 2:48,10,0,优惠券结算,交易成功优惠券支付金额结算
180429-103036528640266,2018/5/2 1:00,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-361182680960164,2018/5/1 22:37,0,-1.09,优惠券结算,退款扣除优惠券支付金额
180501-361182680960164,2018/5/1 22:37,1.09,0,优惠券结算,交易成功优惠券支付金额结算
180426-393688602882298,2018/5/1 22:33,1,0,优惠券结算,交易成功优惠券支付金额结算
180422-473285290880594,2018/5/1 22:23,10,0,优惠券结算,交易成功优惠券支付金额结算
180426-424948291842706,2018/5/1 21:50,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-507670240001898,2018/5/1 21:50,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180501-442512391040136,2018/5/1 20:58,0,-0.65,优惠券结算,退款扣除优惠券支付金额
180501-442512391040136,2018/5/1 20:58,0.65,0,优惠券结算,交易成功优惠券支付金额结算
180427-296836725763854,2018/5/1 20:52,3,0,优惠券结算,交易成功优惠券支付金额结算
180405-419728883201996,2018/5/1 20:47,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-531538394241382,2018/5/1 20:25,3,0,优惠券结算,交易成功优惠券支付金额结算
180429-292575812482974,2018/5/1 19:56,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-296323271682481,2018/5/1 19:38,0.71,0,优惠券结算,交易成功优惠券支付金额结算
180428-102553944323150,2018/5/1 19:26,10,0,优惠券结算,交易成功优惠券支付金额结算
180429-298538549121505,2018/5/1 19:24,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180428-517669505281831,2018/5/1 18:49,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-540973706240965,2018/5/1 18:39,0.67,0,优惠券结算,交易成功优惠券支付金额结算
180422-411833681923125,2018/5/1 18:23,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-395086863361301,2018/5/1 17:15,1,0,优惠券结算,交易成功优惠券支付金额结算
180501-388067539202890,2018/5/1 17:04,0,-5,优惠券结算,退款补用户优惠券
180501-388067539202890,2018/5/1 17:04,5,0,优惠券结算,交易成功优惠券支付金额结算
180427-319084867840373,2018/5/1 17:01,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180427-352125037442121,2018/5/1 16:43,3,0,优惠券结算,交易成功优惠券支付金额结算
180429-239613319041782,2018/5/1 16:12,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-383870961923626,2018/5/1 15:59,4,0,优惠券结算,交易成功优惠券支付金额结算
180415-466675239680496,2018/5/1 15:50,0.77,0,优惠券结算,交易成功优惠券支付金额结算
180415-511042480000061,2018/5/1 15:49,3,0,优惠券结算,交易成功优惠券支付金额结算
180501-382966329601541,2018/5/1 15:26,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180501-382966329601541,2018/5/1 15:26,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180404-452271137922148,2018/5/1 15:09,3,0,优惠券结算,交易成功优惠券支付金额结算
180418-489572204162710,2018/5/1 14:46,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-492720444162806,2018/5/1 14:14,3,0,优惠券结算,交易成功优惠券支付金额结算
180428-482517464323028,2018/5/1 14:09,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-502008162563243,2018/5/1 13:46,20,0,优惠券结算,交易成功优惠券支付金额结算
180426-515594824960649,2018/5/1 13:42,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180426-462431923201526,2018/5/1 13:31,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180428-490960450560957,2018/5/1 12:59,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180427-330589441283998,2018/5/1 12:59,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180428-478798310411304,2018/5/1 11:41,1.01,0,优惠券结算,交易成功优惠券支付金额结算
180428-334386628481490,2018/5/1 11:02,1.56,0,优惠券结算,交易成功优惠券支付金额结算
180427-355231832322089,2018/5/1 10:38,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180430-377949462411729,2018/5/1 10:07,0,-5,优惠券结算,退款扣除优惠券支付金额
180430-377949462411729,2018/5/1 10:07,5,0,优惠券结算,交易成功优惠券支付金额结算
180412-364081263361173,2018/5/1 9:36,3,0,优惠券结算,交易成功优惠券支付金额结算
180423-347231600641178,2018/5/1 9:12,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-359156896001809,2018/5/1 8:46,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-390207107201433,2018/5/1 7:42,5,0,优惠券结算,交易成功优惠券支付金额结算
180428-285004002563361,2018/5/1 7:10,1,0,优惠券结算,交易成功优惠券支付金额结算
180426-517005370241644,2018/5/1 5:16,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-445775552652831,2018/4/30 23:56,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-533120893443187,2018/4/30 23:23,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180428-211102547843690,2018/4/30 22:21,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-509269908482124,2018/4/30 22:13,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180405-424292939532891,2018/4/30 22:10,5,0,优惠券结算,交易成功优惠券支付金额结算
180426-435245608960645,2018/4/30 22:09,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-289020057602622,2018/4/30 22:08,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180427-352630924162798,2018/4/30 22:05,0.61,0,优惠券结算,交易成功优惠券支付金额结算
180427-280105145600534,2018/4/30 21:13,0.62,0,优惠券结算,交易成功优惠券支付金额结算
180404-459491223041631,2018/4/30 21:11,0.7,0,优惠券结算,交易成功优惠券支付金额结算
180427-530934637440897,2018/4/30 21:01,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-114536207363732,2018/4/30 20:55,3,0,优惠券结算,交易成功优惠券支付金额结算
180427-442431827201016,2018/4/30 20:23,3,0,优惠券结算,交易成功优惠券支付金额结算
180427-419585374081555,2018/4/30 20:22,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180426-514298429441216,2018/4/30 20:10,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-215050517762464,2018/4/30 19:49,3,0,优惠券结算,交易成功优惠券支付金额结算
180428-293607389441715,2018/4/30 18:44,3,0,优惠券结算,交易成功优惠券支付金额结算
180414-483429594882533,2018/4/30 18:19,3,0,优惠券结算,交易成功优惠券支付金额结算
180415-255859786242420,2018/4/30 18:19,1.38,0,优惠券结算,交易成功优惠券支付金额结算
180414-375723426562436,2018/4/30 18:19,10,0,优惠券结算,交易成功优惠券支付金额结算
180414-399614686720856,2018/4/30 18:19,1,0,优惠券结算,交易成功优惠券支付金额结算
180414-374899909120698,2018/4/30 18:19,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-485379116163434,2018/4/30 18:09,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180422-384284371202260,2018/4/30 17:18,3,0,优惠券结算,交易成功优惠券支付金额结算
180428-239398984962247,2018/4/30 16:53,18.7,0,优惠券结算,交易成功优惠券支付金额结算
180422-478589196163762,2018/4/30 16:42,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180428-213369267202790,2018/4/30 16:18,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-264741939203289,2018/4/30 15:35,5,0,优惠券结算,交易成功优惠券支付金额结算
180428-270533898242921,2018/4/30 15:15,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-334470272003973,2018/4/30 14:56,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180427-481689770240507,2018/4/30 14:50,1.31,0,优惠券结算,交易成功优惠券支付金额结算
180422-528797011202226,2018/4/30 14:25,10,0,优惠券结算,交易成功优惠券支付金额结算
180426-388394441600416,2018/4/30 13:50,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-479090931841151,2018/4/30 13:26,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-241332875520256,2018/4/30 13:08,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180427-392511192322204,2018/4/30 13:03,10,0,优惠券结算,交易成功优惠券支付金额结算
180426-468415928321488,2018/4/30 12:43,19.9,0,优惠券结算,交易成功优惠券支付金额结算
180422-522865587203085,2018/4/30 12:42,3,0,优惠券结算,交易成功优惠券支付金额结算
180426-442412083202652,2018/4/30 12:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180426-455973812493696,2018/4/30 12:09,10,0,优惠券结算,交易成功优惠券支付金额结算
180428-283962562561388,2018/4/30 11:27,3,0,优惠券结算,交易成功优惠券支付金额结算
180428-542505755523861,2018/4/30 10:42,0,-1,优惠券结算,退款扣除优惠券支付金额
180428-542505755523861,2018/4/30 10:42,1,0,优惠券结算,交易成功优惠券支付金额结算
180426-514894726401178,2018/4/30 9:14,3,0,优惠券结算,交易成功优惠券支付金额结算
180426-396981055360310,2018/4/30 8:44,10,0,优惠券结算,交易成功优惠券支付金额结算
180430-250811014402890,2018/4/30 8:31,0,-10,优惠券结算,退款补用户优惠券
180430-250811014402890,2018/4/30 8:31,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-234382882562725,2018/4/30 6:58,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-305509734400922,2018/4/30 6:53,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-473981622401629,2018/4/30 6:43,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180425-487129872651565,2018/4/30 1:53,10,0,优惠券结算,交易成功优惠券支付金额结算
180418-421091709450250,2018/4/30 1:00,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-284378958083973,2018/4/30 0:57,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-353560111362534,2018/4/29 22:33,10,0,优惠券结算,交易成功优惠券支付金额结算
180426-452785645441971,2018/4/29 22:06,10,0,优惠券结算,交易成功优惠券支付金额结算
180429-502747004160510,2018/4/29 22:01,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180429-502747004160510,2018/4/29 22:01,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180406-477227456003099,2018/4/29 21:54,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180406-490016217603396,2018/4/29 21:41,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180427-185756894083700,2018/4/29 20:37,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180427-286002227201535,2018/4/29 20:31,1.45,0,优惠券结算,交易成功优惠券支付金额结算
180420-410408519683140,2018/4/29 20:24,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180423-232790934401027,2018/4/29 20:19,10,0,优惠券结算,交易成功优惠券支付金额结算
180426-529551607681268,2018/4/29 20:06,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-340100825601688,2018/4/29 19:50,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-504709296642563,2018/4/29 19:34,3,0,优惠券结算,交易成功优惠券支付金额结算
180423-337500912642227,2018/4/29 19:22,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-287960099842298,2018/4/29 19:01,5,0,优惠券结算,交易成功优惠券支付金额结算
180412-444075600654011,2018/4/29 17:58,0.78,0,优惠券结算,交易成功优惠券支付金额结算
180422-512219294722185,2018/4/29 17:37,3,0,优惠券结算,交易成功优惠券支付金额结算
180426-531445392642952,2018/4/29 17:28,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180424-336946617613354,2018/4/29 16:48,10,0,优惠券结算,交易成功优惠券支付金额结算
180414-326225497602357,2018/4/29 16:36,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-299319246720710,2018/4/29 16:31,5,0,优惠券结算,交易成功优惠券支付金额结算
180422-481114137600584,2018/4/29 16:21,0.63,0,优惠券结算,交易成功优惠券支付金额结算
180422-480185791362615,2018/4/29 15:41,5,0,优惠券结算,交易成功优惠券支付金额结算
180411-520589048321556,2018/4/29 15:22,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180426-433336166401366,2018/4/29 15:09,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-511670388480731,2018/4/29 14:57,5,0,优惠券结算,交易成功优惠券支付金额结算
180427-268272798722162,2018/4/29 14:35,5,0,优惠券结算,交易成功优惠券支付金额结算
180426-472505580803093,2018/4/29 14:05,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-407885888003829,2018/4/29 14:01,10,0,优惠券结算,交易成功优惠券支付金额结算
180420-226283704322185,2018/4/29 13:54,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-518315752962590,2018/4/29 13:37,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-226303087362296,2018/4/29 13:28,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-496689648640679,2018/4/29 13:28,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180422-520430905602315,2018/4/29 13:13,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180407-499708133121903,2018/4/29 12:53,0.67,0,优惠券结算,交易成功优惠券支付金额结算
180422-378901495681587,2018/4/29 12:36,3,0,优惠券结算,交易成功优惠券支付金额结算
180422-489372976003766,2018/4/29 11:56,10,0,优惠券结算,交易成功优惠券支付金额结算
180427-303938331522121,2018/4/29 11:22,10,0,优惠券结算,交易成功优惠券支付金额结算
180418-499557859843436,2018/4/29 11:08,3,0,优惠券结算,交易成功优惠券支付金额结算
180419-377080604163203,2018/4/29 10:59,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-521851622403931,2018/4/29 10:53,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-413724578562825,2018/4/29 10:53,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-438029774081660,2018/4/29 10:37,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180419-315760411523652,2018/4/29 7:49,3,0,优惠券结算,交易成功优惠券支付金额结算
180422-411710346241016,2018/4/29 1:26,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180423-324978938883943,2018/4/28 22:44,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-495066366721111,2018/4/28 22:30,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180411-526182475521368,2018/4/28 21:59,0.79,0,优惠券结算,交易成功优惠券支付金额结算
180403-280608509440393,2018/4/28 21:58,15,0,优惠券结算,交易成功优惠券支付金额结算
180419-472241034882135,2018/4/28 21:30,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-230410277760450,2018/4/28 20:17,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-394066849280330,2018/4/28 20:11,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180426-531125797763611,2018/4/28 19:56,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180409-447927985922504,2018/4/28 19:43,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-460076127362440,2018/4/28 19:38,0.73,0,优惠券结算,交易成功优惠券支付金额结算
180415-398373216011960,2018/4/28 19:25,3,0,优惠券结算,交易成功优惠券支付金额结算
180401-476575818243716,2018/4/28 19:03,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180404-283985565440133,2018/4/28 18:54,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-477126700803608,2018/4/28 18:53,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-507059592961079,2018/4/28 18:32,1,0,优惠券结算,交易成功优惠券支付金额结算
180407-458894400001237,2018/4/28 18:28,3,0,优惠券结算,交易成功优惠券支付金额结算
180422-351041066881239,2018/4/28 18:07,14.15,0,优惠券结算,交易成功优惠券支付金额结算
180404-491054682241052,2018/4/28 18:01,20,0,优惠券结算,交易成功优惠券支付金额结算
180423-293702371202640,2018/4/28 17:45,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-289567168002280,2018/4/28 17:11,3,0,优惠券结算,交易成功优惠券支付金额结算
180404-316236214400689,2018/4/28 16:39,10,0,优惠券结算,交易成功优惠券支付金额结算
180425-106401322241750,2018/4/28 16:34,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-426608261122043,2018/4/28 16:06,10,0,优惠券结算,交易成功优惠券支付金额结算
180420-543393593603458,2018/4/28 15:54,0.69,0,优惠券结算,交易成功优惠券支付金额结算
180407-220525791360920,2018/4/28 15:22,0.75,0,优惠券结算,交易成功优惠券支付金额结算
180423-277227849601497,2018/4/28 15:15,10,0,优惠券结算,交易成功优惠券支付金额结算
180420-447459058561067,2018/4/28 15:09,0.2,0,优惠券结算,交易成功优惠券支付金额结算
180407-306054428162845,2018/4/28 14:55,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180403-271915538560758,2018/4/28 14:01,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-261722028803116,2018/4/28 13:40,10,0,优惠券结算,交易成功优惠券支付金额结算
180422-493931289601758,2018/4/28 13:32,0.68,0,优惠券结算,交易成功优惠券支付金额结算
180422-346998698880964,2018/4/28 13:19,1.06,0,优惠券结算,交易成功优惠券支付金额结算
180422-478760839040062,2018/4/28 13:19,0.63,0,优惠券结算,交易成功优惠券支付金额结算
180422-478965807361037,2018/4/28 13:03,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180419-275953446403608,2018/4/28 12:59,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-297782545923271,2018/4/28 12:59,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-310789567360302,2018/4/28 12:37,10,0,优惠券结算,交易成功优惠券支付金额结算
180423-248103267202690,2018/4/28 12:26,10,0,优惠券结算,交易成功优惠券支付金额结算
180407-398097273603118,2018/4/28 12:26,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-445768476163391,2018/4/28 12:17,3,0,优惠券结算,交易成功优惠券支付金额结算
180405-521498750083713,2018/4/28 11:16,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-428409757441625,2018/4/28 11:15,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180423-228832979843217,2018/4/28 11:05,5,0,优惠券结算,交易成功优惠券支付金额结算
180422-513259982080196,2018/4/28 10:31,1.02,0,优惠券结算,交易成功优惠券支付金额结算
180418-298152424321046,2018/4/28 9:58,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180422-358901360642953,2018/4/28 9:14,0.63,0,优惠券结算,交易成功优惠券支付金额结算
