订单号,商品ID,商品名称,扣款原因,申请人,申请时间,申请扣款金额(元),打款状态
180505-285310320642863,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0721:31:12,3.5,小额打款成功
180504-428045232001719,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0721:17:44,6,小额打款成功
180505-334285825282071,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0721:11:48,4.5,小额打款成功
180504-294705541120043,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0721:11:08,3,小额打款成功
180504-323018051842102,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0720:02:25,8,小额打款成功
180503-488445405441184,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0719:48:50,3.5,小额打款成
180504-325108435843911,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0719:21:39,10,小额打款成功
180504-369169112970370,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0719:11:04,4,小额打款成功
180504-534427944961544,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0719:09:19,4.5,小额打款成功
180502-466207334403079,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0719:08:02,4,小额打款成功
180504-487625743360178,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0719:06:46,6,小额打款成功
180504-492406033283624,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0718:36:00,4,小额打款成功
180407-420613020160895,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,差价补偿,合曼：子玉,2018-05-0716:42:39,3,小额打款成功
180503-446411270400684,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0715:34:00,5,小额打款成功
180504-456227078411685,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0715:21:33,5,小额打款成功
180428-513072870403177,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0714:59:54,5,小额打款成
180502-387082113922724,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0714:21:55,4,小额打款成功
180424-270252775683920,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：002,2018-05-0714:16:56,5,小额打款成功
180430-368310087680868,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0711:41:58,8,小额打款成功
180429-521195203852381,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0711:07:54,3,小额打款成功
180502-541981677442579,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0711:05:14,4.5,小额打款成功
180503-355241944961236,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0708:35:49,8,小额打款成功
180503-427115398400444,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0622:20:43,4,小额打款成功
180503-425986592002739,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0618:45:51,4.5,小额打款成功
180503-375492700163564,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0618:26:08,5,小额打款成功
180504-309389313283409,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0618:17:25,7,小额打款成
180427-458868179842565,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0617:48:26,4,小额打款成功
180501-487851816961266,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0615:59:33,9,小额打款成功
